post_category,comment_level,like_count,content
"strong,nohuman",1,225.0,你们先告诉我第几个跑过去的是荣耀的机器人？这速度生怕我看清楚啊
all,2,209.0,跑步考验机器人的稳定性，连贯性，散热，电池续航，是以后开发更多功能的基础。
"weak,human",1,188.0,机器人马拉松会不会影响真人跑者的成绩啊，感觉大家都忍不住看哈哈哈
"strong,human",2,178.0,宇树机器人进化了，会偷懒了，跑一半整活去了
"strong,nohuman",2,174.0,专门跑的快的机器人叫汽车
"weak,nohuman",2,171.0,人形机器人比赛
all,2,171.0,让老人照顾机器人
"lovely,nohuman",2,168.0,"人类社会的一切工具和设施都是基于人体打造的，人形机器人可以无障碍接管，不需要对工具和设施进行适配性改造。

同时，情感需求也是一方面，机器人要融入人类社会，与人类共同协作，其外形需要尽量减少隔阂感，且要能与人类以“人类熟悉的方式”进行互动。
所以，人形态是最好的选择。"
"weak,nohuman",2,160.0,这机器人就是靠3d打印出来的零件[抠鼻R][抠鼻R][抠鼻R]所以这脆
"strong,nohuman",2,156.0,车也是机器人的一员，你还想开车[doge]
"strong,human",2,149.0,别的机器人摔了他在边上看热闹还鼓掌[笑哭R]笑死了
"weak,nohuman",2,139.0,这绝对不是春晚的机器人[捂脸R][捂脸R][捂脸R][捂脸R][笑哭R][笑哭R][笑哭R]
"weak,human",2,130.0,估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人
"weak,human",2,114.0,是这样的，属于机器人的高考[笑哭R]
"humane,nohuman",2,114.0,没事 机器人发展比你大脑发展快的多[doge][doge]
"weak,nohuman",2,103.0,镜头一转一个倒地的机器人好好笑
"weak,nohuman",2,97.0,因为人形是做服务的，服务机器人到你家直接用你家的工具，你家工具都是给人用的。目前新闻来看，战争用狗型比较多吧，武器装头的位置，不需要匹配人的武器。
"strong,nohuman",2,97.0,[偷笑R]你得反过来看，是这种两条腿的类人型机器人在拼速度[大笑R]
"weak,human",2,96.0,还有个小机器人拿着奶瓶跑
"weak,human",1,95.0,社会发展到机器人都有救护车了，却还没有动物救护车
"strong,nohuman",1,94.0,听说荣耀机器人也参赛了？
"strong,human",1,93.0,“机器人超过我了”莫名想哭 感受到了一代一代的托举 是人和人之间 也是人和机器人之间
"strong,nohuman",1,91.0,好多唱反调的人，我怀疑是小红书用算法在挑动对立[赞R]
all,2,91.0,我们也活得跟机器人没啥区别了现在[笑哭R]
"weak,nohuman",1,89.0,其实不一定应要走人型方向的机器人，弄个轮子的也不是不行吧，实用性总比观赏性大吧
"strong,nohuman",1,87.0,我发现小红书好多人还在为机器人到底有啥用耿耿于怀，觉得就是跑个步跳个舞打个拳，又不能洗碗洗衣服带娃啥的那就是没用[笑哭R]他们觉得这玩意儿一诞生这些家务活就应该手到擒来。
"strong,nohuman",1,86.0,嘎哒嘎哒嘎哒嘎哒嘎哒嘎哒，我看到了我们荣耀的机器人了
"humane,nohuman",2,78.0,热知识，前年还没有机器人能上春晚
"weak,nohuman",1,77.0,为啥地上要搞个减速带，是怕机器人跑得太快不减速吗
"strong,nohuman",1,77.0,我也觉得人行机器人的用途在哪？没必要完全做成人的模样吧 要说让他跑 做成轮子更快 更节约成本啊
"strong,nohuman",1,76.0,大部分机器人跑友还不会送髋，一个视频教会你[吧唧R]
"humane,nohuman",2,76.0,一个行业的发展从0到1总是最困难的 ，再过十年，二十年你看到无障碍爬墙手臂切换成武器，一分各种突破人类极限的操作，那个时候你再回过头看看现在[doge]，AI跟机器人的结合才是这个时代的最终王炸，到时候智能体问世才是真正的超级科技大爆发，因为人类的智慧并不能融汇贯通，一个专注于某个领域的老师傅穷集一身的50年以上经验所学，哪怕他想要倾囊相授，传承给下一代也要看弟子悟性，而且还不是一朝一夕，但是智能体时代就不一样了，100个智能体掌握100个不同路径的技能，在共享云端实现技术共享那一刻，这100个智能体就能同时掌握彼此的技能，在依托他们超强的AI智能算法，就会融合出新的科技跟路径[doge]
"strong,nohuman",1,74.0,感觉亦庄好有科技感，无人驾驶汽车，机器人，各种新科技都在那测试
"strong,nohuman",2,74.0,还得有个人遥控机器人跑呢
"weak,nohuman",2,71.0,工厂的机器人就是机械臂
"weak,nohuman",2,67.0,机器人就是很脆弱的，之前就是有一个科技馆有悬浮机器人表演，结果机器出故障了机器人直接摔成渣了
"weak,human",2,67.0,这个全称肯定命题是不管研究机器人的女孩子是吗？
all,2,66.0,可能是救被机器人气过去的主人[笑哭R]
"strong,nohuman",2,61.0,有一个视频是一个机器人失控自己跑了，后面两个程序员玩命追[偷笑R]
"humane,nohuman",2,55.0,机器人本体是宇树的，但是参加的公司不是
"strong,human",1,54.0,“多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间”
all,2,53.0,检测机器人 大动作协调性+检测长时间运作会出现的问题，大动作协调之后就搞精细动作了，以后打仗不用人上，全是机器人扛炮打，
"strong,human",1,51.0,左边人半马 右边机器人半马？
"weak,human",1,51.0,@inl 我以为是机器人救人，没想到是人救机器人
"weak,human",2,51.0,感觉程序设置不应该让他起来，容易次生灾害，比如挂到人啥的，毕竟跑是固定模式的运动，程序好控制，但摔倒可能有无数情况
"humane,nohuman",1,50.0,别的我都懂，冲着机器人喊加油，他是能听懂吗
"weak,human",1,49.0,干嘛呢，给机器人上温暖的爱的教育ing[笑哭R][笑哭R]到时候对人类手下留情一下吗
"humane,nohuman",1,49.0,太智能了，就是辛苦操控员了，机器人跑42公里，他么三个也要跟着跑42公里[捂脸R]
all,2,49.0,进化是这样的，人也是先学会走路才学会跑步，而且长跑对人类来说也是一项调动全身协调性的运动，如果机器人学会并且能长时间稳定这种状态，说明技术已经可以开始发展下一阶段了，到后面你我老了，机器人就能代替护工服务你了[doge]
"strong,nohuman",2,48.0,以后机器人OTA可以实现 就像现在电车可以端到端
"weak,human",1,47.0,机器人还不能救人但是人已经可以救机器人了[得意R]
"strong,nohuman",1,47.0,不是 是真不理解 体育是一种精神。机器人搞这个干嘛？
"strong,nohuman",1,46.0,都机器人了还用腿 装俩轱辘不行么
"lovely,nohuman",1,45.0,不知道这个机器人是不是我在b站上看到的那位，摔倒了还被宇数机器人观望拍手那个[笑哭R]
"humane,nohuman",1,45.0,三个工程师追着一个机器人跑[黄金薯R]
"weak,human",1,43.0,感觉研究机器人的都是很年轻的小男孩  像商场里卖玩具区那些买机甲战士挑奥特曼的小孩长大了
"strong,nohuman",2,43.0,技术验证，对比前年春晚跟去年春晚的机器人行动的流畅度你就能看出来差异了，这种马拉松或者类似的机器人运动就是对具身智能技术提升部分的实测实验以及品牌曝光过程
"strong,human",1,42.0,真不敢想象五年后这种机器人比赛会牛逼成什么样子
"strong,nohuman",2,41.0,它是替人干活的[捂脸R]而所有的工业设备都是适配人类的，机器人人型更方便
all,2,40.0,机器人套了大湾鸡的壳
"weak,human",1,39.0,这款机器人给我一种社会一点忙没帮到，纯添乱，而且极其热爱跳舞
"lovely,nohuman",1,39.0,是被大机器人嘲笑的那个机器人吗
"humane,nohuman",1,39.0,我笑死，真的一台机器人可以带动5个人就业
"lovely,nohuman",2,39.0,哈哈哈哈我们滴机器人很稳定哦 硬件很稳定[害羞R]
"strong,human",2,38.0,早晚的事情[笑哭R] 机器人只需要有一个学会了 所有的都会
"strong,nohuman",2,38.0,机器人做成狗那还能叫机器人嘛
"humane,nohuman",2,38.0,太棒了，你能想到的东西全世界这么多做机器人的都想不到[偷笑R]
"strong,nohuman",1,36.0,可机器“人”往人形仿真设计 运动并不经济啊，这条线发展下去为了陪伴拟人？那跑得快就没必要了。如果是plq说的军事需求，不如搞个踩风火轮带关节的 可以跨越速度也快，类似火星探测
"weak,nohuman",1,35.0,春晚那些会跳舞的机器人哪去了
"humane,nohuman",1,35.0,无聊的人类，本来机器人的创造是为了代替人类，去做高风险职业，比如高空作业，，下地下井，外太空等等，但是反过来了
"strong,nohuman",2,35.0,哈哈哈哈哈哈哈哈机器人：谢谢你，他们都问我马拉松意义是什么，只有你关心我心脏好不好
all,2,35.0,不是一开始就可以用机器人上战场的，这个过程需要各种实验
"humane,nohuman",1,34.0,人形机器人就是圈钱用的。大家看看乐呵乐呵就行了。
"humane,nohuman",1,34.0,机器人马拉松意义是什么，为什么不装轮子 = 汽车意义是什么，为什么不骑马
all,2,34.0,不无聊啊，这只是表面是个机器人，核心是技术的提升。
"humane,nohuman",2,34.0,人跑马拉松都需要散热，更别况机器人了
"strong,nohuman",1,31.0,是脚不是轮胎我能理解，可是我正经询问一下，为什么机器人跑步要摆动双臂？
"weak,human",2,31.0,感觉她的动作是所有机器人里最人的，其他机器人跑的都太机器了
"strong,nohuman",2,30.0,危险环境下机器人上
"strong,nohuman",1,29.0,这跟直接开车有什么区别[笑哭R]为什么执着于让机器人跑马[笑哭R]
"weak,nohuman",2,29.0,国外的机器人就是厉害，还会挂国内ip发评论带节奏[笑哭R]
"humane,nohuman",2,29.0,是冰淇淋，这个机器人叫李明，李明喜欢吃冰淇淋，有喜欢的食物会跑的更快。
"weak,nohuman",1,28.0,为什么春晚的那些机器人都已经可以做那么高含金量的武打动作了，这些机器人却跑步还踉踉跄跄呢
"strong,nohuman",1,28.0,呃，这种拼速度的机器人有什么必要做成两条腿？
"strong,nohuman",2,28.0,正常，去年机器人跑得慢的时候，冷嘲热讽的人更多，毕竟火车刚发明出来的时候，大家也都觉得它没用
"humane,nohuman",1,27.0,一个机器人在前面跑，三个人在后面跟着[笑哭R]
"strong,nohuman",2,27.0,跑步很考验稳定性。去年北京也举办了机器人马拉松，很多机器人跌倒，才一年过去就都稳了。
"humane,nohuman",1,25.0,冷知识：春晚机器人表演完不会下楼梯。需要一个个抱下来
"humane,nohuman",2,25.0,轮子，人形机器人都要发展，毕竟不是所有地形都能跑轮子的
"weak,human",2,24.0,希望能让中国的机器人行业越来越好
"strong,nohuman",1,23.0,上次看到迪士尼的雪宝机器人，评论区没有一个人说有什么意义的[失望R]
"strong,nohuman",1,23.0,能不能做个机器人保姆大赛…搞这种跑步比赛干嘛…又不实用………现在市场需要机器人保姆养老
"lovely,nohuman",2,22.0,因为要检验电池的续航散热和机器人的灵活性，只比头脑比的是ai，不是机器人
all,2,22.0,让机器人当老人[笑哭R]
all,2,22.0,其实大多数工业生产上的机器人都不是人形的，做人形是为了以后服务活人，也就是我们看得见的那些。
"weak,human",1,21.0,回收二手机器人有市场了[doge]
"strong,nohuman",1,21.0,太厉害了[捂脸R]比上一次强多了👍上次笑话机器人的，现在还能笑出来吗
"strong,nohuman",1,21.0,很多人都会说，把机器做成人形有什么意义？……有没有一种可能，那是我们以后的身体
"humane,nohuman",1,21.0,本来一个人的工作变成3人加机器[点赞R]
"weak,human",2,21.0,我以为是机器人开救护车来救人
"strong,nohuman",2,21.0,机器人多贵！机器人被车撞了你得重新买一个，外卖员被车撞了就赖给外卖员自己不遵守交通规则0成本的[doge][doge][doge]机器人把餐食打翻了平台得赔钱，外卖员打翻了自己垫着[doge][doge][doge]你是老板你选择机器人还是外卖员，就这么说就国内的人力成本除了没有厂里，不然机器人暂时还替代不了人力
"weak,nohuman",1,20.0,中国的机器人遥遥领先，像极了马保国
"lovely,nohuman",2,20.0,模拟人形叫机器人，模拟狗形叫机器狗呗
"strong,human",1,19.0,那个小孩机器人在哪儿玩呢[doge][doge]
"strong,nohuman",1,19.0,我不买车了 买个机器人扛着我跑去上班
"weak,nohuman",2,19.0,这肯定不是中国的机器人
"lovely,nohuman",2,19.0,宇树的机器人其实那会儿也是刚好要休息降温的，所以才去挑衅其他的机器人，挺好玩的[笑哭R][笑哭R]
"humane,nohuman",1,18.0,让机器人跑马拉松的意义是什么？纯属好奇
"strong,human",2,18.0,就这三家跑的正常一点吧，其他的机器人感觉都是来整活的[doge]
"strong,nohuman",2,18.0,看视频里的机器人形式，几乎都有激光雷达和视觉传感器，说明今年的都是带自动识别算法的，不需要人遥控。
all,2,18.0,咱们站在外行人的角度想 一个小婴儿从翻身爬站一步步到跑起来 是人对自己的身体掌控力的成长 慢慢小孩能做各种事情  机器人也一样吧 会跑 会长时间跑 会长时间快速奔跑 那么他们以后就能干更多更精细更持久更有难度的工作 且像人一样
all,2,18.0,应该是每个机器人的家长吧，车上的编号和面前机器人的编号一样[笑哭R][笑哭R]全程陪同随时准备抢修[doge]
"weak,human",1,17.0,我要开始学机器人心理学了，以后必然有用[黄金薯R]
"strong,nohuman",1,17.0,所以，机器人就必须是个人的形状？这个目的为了啥？有没有可能是个轮子的话更快？
