id,bid,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间,发布工具
5289566412999375,QBA1XcAh1,7583936909,高恒说,发布了头条文章：《荣耀包揽前六、宇树终点摔倒：机器人的胜负手不在实验室里》O荣耀包揽前六、宇树终点摔倒：机器人的胜负手不在实验室里,,0,0,0,2026-04-19 23:59,微博 weibo.com
5289565663269926,QBA0KdIEK,1655773112,憔悴小狗,看到一帮日本媒体在拿着这两天机器人马拉松里几个机器人摔倒的视频笑话中国的机器人技术，感觉这一波技术革命的确是稳了。。。,,0,0,0,2026-04-19 23:56,REDMI K80 Pro
5289562542706319,QBzVIbm2j,7730217402,北京卫视向前一步,#这里是北半马不许睡觉#【#宇树H1机器人不慎摔倒#】突发！杭州S队宇树H1机器人意外摔倒，应急方案即刻启动，备用机器人顶上！#2026机器人半马#（@北京新闻广播记者：刘海洋；制作：逯梦怡实习）L北京新闻广播的微博视频,"这里是北半马不许睡觉,宇树H1机器人不慎摔倒,2026机器人半马",0,0,0,2026-04-19 23:44,微博视频号
5289562177278237,QBzV7uxoV,7730217402,北京卫视向前一步,【亦庄机器人马拉松：#天工机器人赛场意外摔倒#】2026北京亦庄人形机器人半程马拉松赛场上，天马队的天工Ultra-2025在行进过程中突然失去平衡，摔倒在地。现场技术保障人员迅速介入处置，对机器人进行紧急检修。#这里是北半马不许睡觉##北半马机器人不语一味闷头跑#（@北京新闻广播记者：康利坡制作：翟子曰实习）L北京新闻广播的微博视频,"天工机器人赛场意外摔倒,这里是北半马不许睡觉,北半马机器人不语一味闷头跑",0,0,0,2026-04-19 23:42,微博视频号
5289559187526511,QBzQivzZl,1913668405,有道德的黑猫警长,二十四节气吃什么超话#2026机器人半马#今天一直都在看机器人半马的搞笑瞬间，尤其是跑到一半不动的，和摔倒的，看的可开心了，然后就遭报应了，下班路上摔了个狗吃屎…,2026机器人半马,0,0,0,2026-04-19 23:30,二十四节气吃什么超话
5289558180626955,QBzOG2D6b,1444313404,领事闲谈,"【在人类与机器人的竞赛中，机器取得胜利，这标志着科技进步】[“今年，我们只和自己竞争。”]（NBC）由智能手机制造商荣耀开发的双足人形机器人，仅用50分26秒就跑完了13英里的赛程，击败了所有12,000名人类参赛者，甚至打破了雅各布·基普利莫上个月在里斯本创造的半程马拉松人类世界纪录，快了近7分钟。闪电赛车在比赛接近尾声时撞上护栏，速度只略有下降，但在队友的帮助下倒车，最终戏剧性地完成了比赛。Honor的机器人包揽了所有奖项，还在领奖台上获得了第二名和第三名。“我当时非常紧张，”获奖队伍之一“荣耀”队的队长马华泽说，“最大的挑战在于要有勇气在这种大型比赛舞台上进行大规模升级和测试。”在北京某工业园区举行的这场活动中，有超过一百台机器人参赛，比去年的首届比赛有了显著增加。去年，21台参赛的人形机器人中有几台绊倒、失控或直接倒在了起跑线上，只有6台成功冲过终点线。去年速度最快的机器人是一台名为天宫的庞大机器，它用了2小时40分钟完成了半程马拉松，远远低于人类专业运动员的速度。今年没有重蹈覆辙，中国的科技实力得到了充分展现：至少有四款人形机器人跑进了1小时以内，而且出现故障的机器人数量也大幅减少。为了避免人机碰撞，真人跑者们在平行跑道上进行比赛，他们对机器人的速度印象深刻，有些人甚至放慢速度或停下来，拍摄这些金属对手的照片。参赛选手中最快的是29岁的赵海杰，他以1小时7分47秒的成绩跑完了全程。他说，机器人在前3英里内就跑得非常快。“我感觉它飞得很快，”赵在赛后接受NBC新闻采访时说。“它嗖的一声就从我身边飞过去了。”近40%的机器人是自主运行的，它们能够独立完成全程，顺利通过弯道、崎岖地形和其他障碍物。其他参赛机器人则由遥控器操控，完赛时间根据不同组别进行了调整。“我能感受到我们国家科技的飞速发展，”41岁的金融从业者刘彦利和家人在场边观看比赛时说道。“对我们这些中年人来说，这给了我们对未来极大的安全感，”他说。刘先生6岁的儿子金宇说，他喜欢这些“能携带很多东西”的机器人。这群高速机器看起来有点像科幻电影里的场景，但在这场奇观背后，却是中美两国为开发由人工智能驱动的下一代人形机器人而展开的一场风险更高的竞争。对薛庆恒而言，这场比赛是对他创办的城际科技股份有限公司过去一年来对其人形机器人所做改进的一次公开压力测试。这款名为“小程”的儿童大小的机器人配备了更快速、更协调的电机，以及更先进的脚部、传感器和步态算法。“对我们来说，这个过程实际上是在和去年的自己竞争，”薛在活动开始前于北京公司工作室接受采访时表示，“今年，我们只和自己竞争。”据赛事组织方透露，机器人大赛冠军预计将获得价值超过100万元人民币（约合14.65万美元）的订单，这场比赛也引起了全国的关注。中国拥有超过150家机器人制造企业和研究实验室。数亿人通过各种平台观看了比赛的直播。中国对机器人和人工智能的高度重视并非偶然，国家通过自上而下的战略，为发展提供补贴并刺激需求，以主导这一被其视为“国家优先”的行业。中国已经主导了人工智能芯片、传感器和电池的供应链，而北京最新的2026-2030年总体规划则为包括脑芯片、量子计算和由外形和动作都像人的机器人操作的工厂在内的未来技术制定了蓝图。人形机器人技术的支持者表示，在不久的将来，它们可能会成为工业和日常生活的一部分，承担从修复电网到照顾老人等各种任务。尽管中国有望在发展中处于领先地位，但今年的半程马拉松赛事并非一帆风顺。技术人员团队乘坐高尔夫球车跟随机器人沿赛道行进，许多团队还配备了担架和轮椅，以备不时之需。一个机器人在距离起跑线约200英尺的地方翻了个跟头，脸朝下摔倒在地，然后用胶带把上半身粘起来继续比赛。另一个人形机器人凯旋冲过终点线，然后立刻偏离路线，掉进了灌木丛里。在所有快速而充满未来感的车型中，小派，一个可爱的、身高2英尺的陪伴机器人，抱着一个奶瓶在路上蹦蹦跳跳。“如今的机器人拥有迈克·泰森的体魄，但仍然缺少像斯蒂芬·霍金那样的大脑，”薛先生说道，他的机器人“小程”成功完成了比赛。“一旦大脑问题得到解决，这里发挥想象力的空间将是巨大的。”",,5,3,16,2026-04-19 23:26,微博网页版
5289557893317697,QBzOddV5f,3163763471,津门李哥,中国机器人马拉松逼近人类极限速度！#一分钟精选视频扶持计划#L津门李哥的微博视频,一分钟精选视频扶持计划,0,1,5,2026-04-19 23:25,微博视频号
5289550877560869,QBzCTvIVv,2341088403,邓修,二〇二六年四月十九日！机器人马拉松机器人换电摔倒L邓修的微博视频,,0,1,1,2026-04-19 22:57,微博视频号
5289550056524637,QBzBzrnm5,1729280463,vivand,看闪电摔倒后又跑起来逆袭冲刺第一名怎么还泪目了在机器人身上看到了钢铁般的意志太燃了,,0,1,0,2026-04-19 22:54,iPhone客户端
5289548674244875,QBzzlhOhJ,4005352977,午夜准食出发,#豆包变豆脚了#机器人马拉松，跑着跑着，有的掉头，有的“瘸”了。迷你的小头机器人成豆脚了笑归笑，这届机器人依然跑得倔强。摔倒了自己爬起来，偏航了原地转圈，像第一次下厨——火大了糊，盐少了淡，但多练几回，肯定能端出几盘能吃的菜。说不定哪天豆包真上路了🏃‍♂️🤖,豆包变豆脚了,0,3,4,2026-04-19 22:49,HarmonyOS设备
5289192571016468,QBqiZ4gqE,3867859934,笑话专案组,马年春晚节目“武术《武BOT》”，机器人表演时“意外”摔倒！！！别急，我给你起个“狠”的...#微博文化之夜##中华文化小赏#L笑话专案组的微博视频,"微博文化之夜,中华文化小赏",4,0,1,2026-04-18 23:14,微博视频号
5289183665195098,QBq4ClNtU,6898363524,财解限,#人形机器人半马#步履向新，智赴远方。人形机器人半马不仅是一场竞技赛事，更是通用智能时代的缩影。曾经只存在于科幻作品里的双足机器人长跑，如今真实在户外赛道上演。自主感知、自主决策、自主行进，全程脱离人工辅助完成21公里挑战，背后是无数科研人员日夜攻关的成果。关节技术、平衡算法、续航储能、环境感知全方位突破，让机器人运动能力持续进化。随着一次次赛事历练，技术不断沉淀迭代，未来机器人走入家庭、参与社会分工、拓展更多应用场景，都将不再是遥远的想象。#一分钟精选视频扶持计划##微博二创视频创作季#L财解限的微博视频," 人形机器人半马 , 一分钟精选视频扶持计划,微博二创视频创作季",0,0,0,2026-04-18 22:38,微博视频号
5289183618795726,QBq4xAUay,6898363524,财解限,#人形机器人半马#从蹒跚行走到全程跑完半马，人形机器人用一步步跨越见证技术质变。早期双足机器人极易失衡摔倒，续航短、场景单一，仅能完成简单平地移动。如今经过多年研发突破，一体化关节、多传感器融合感知、高续航储能模块全面升级，足以应对复杂野外赛程。本届赛事参赛机型更多元，自主化程度更高，完赛率大幅提升。赛道不仅是比拼速度，更是检验可靠性、稳定性、环境适应性。海量真实运动数据反哺研发，持续缩小机器人与人类运动能力差距，通用人形机器人时代正在加速走来。#一分钟精选视频扶持计划##微博二创视频创作季#L财解限的微博视频," 人形机器人半马 , 一分钟精选视频扶持计划,微博二创视频创作季",0,0,0,2026-04-18 22:38,微博视频号
5289183289541704,QBq40E2es,6898363524,财解限,#人形机器人半马#大众眼中遥远科幻的人形机器人，正在通过半马赛事一步步走入现实视野。21公里长跑挑战，囊括了仿生运动所有核心难点：重心动态平衡、连续步态控制、长时间动力输出、复杂环境自适应。研发团队不断打磨底层控制算法，优化机身配重结构，提升电池续航与散热效率，大幅降低摔倒概率，即便意外倾倒也能快速自主复位。赛事兼具科普价值与科研价值，既向普通网友展现前沿科技魅力，也为行业积累宝贵的户外长距离运动数据，为未来家政、救援、巡检机器人打下坚实基础。#一分钟精选视频扶持计划##微博二创视频创作季#L财解限的微博视频," 人形机器人半马 , 一分钟精选视频扶持计划,微博二创视频创作季",0,0,0,2026-04-18 22:37,微博视频号
5289182478991638,QBq2HBJ8q,6105753431,量子位,【#2026亦庄机器人勇士挑战赛#】2026机器人勇士挑战赛亦庄开赛，人形、四足、轮足多形态机器人挑战17项应急救援关卡。L量子位的微博视频,2026亦庄机器人勇士挑战赛,1,0,8,2026-04-18 22:33,微博视频号
