帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数,matched_xhs_id,帖子标题,帖子正文
7631229266667048205,,,https://www.tiktok.com/@chinesetigress/video/7631229266667048205,71,20,,Why does China make robots run,Why does China make robots run half-marathons? Here's a great explanation that I saw: humanoid half-marathon is like F1 for robots... :) #F1 #formula1 #Robotics #China #robot#tech #technology #fypシ
7634461573460872466,,,https://www.tiktok.com/@beny.djohan/video/7634461573460872466,50,19,,Robot China kalahkan rekor lar,"Robot China kalahkan rekor lari manusia. Robot Amerika diproduksi 1 per jam. Dua berita. Hari yang sama. China robot bernama ""Flash"" buatan Honor. Half marathon 21km: 50 menit 26 detik. Rekor dunia manusia: 57 menit. Robot menang 7 menit. Tahun lalu: 2 jam 40 menit. Tahun ini: 50 menit. 3x lebih cepat. Satu tahun. Amerika robot bernama Figure AI, San Jose. 120 hari lalu: 1 robot per hari. Sekarang: 1 robot per jam. Naik 24x. Dalam 120 hari. 55 robot diproduksi minggu ini. Robot industri China naik 33% satu kuartal. 510.000 robot humanoid beredar global 2030. 4 tahun dari sekarang. Saya tidak bilang ini menakutkan. Tapi teknologi yang hari ini terlihat luar biasa, dalam 3-5 tahun masuk ke keseharian kita. Pertanyaannya bukan apakah ini akan efek ke mana mana? Tapi industri mana yg kena duluan. Dan kamu ada di mana. Kamu kerja di industri apa sekarang? Drop di komentar 👇 🔗 benydjohan.com Sumber: Reuters | Brett Adcock          CNBC | IDC #RobotHumanoid #FlashRobot #FigureAI #RobotChina     #creatorsearchinsights "
7494991809572130078,,,https://www.tiktok.com/@alphanexis/video/7494991809572130078,37,20,,The world's first robot marath,"The world's first robot marathon race was held in Yizhuang, Beijing. Let's take a look at the performance of mischievous children#robotchallenge "
7630544905416264982,,,https://www.tiktok.com/@tagesschau/video/7630544905416264982,64,21,,Bei einem Halbmarathon in Peki,Bei einem Halbmarathon in Peking sind mehrere Hundert Roboter an den Start gegangen – und haben dabei erstmals die menschliche Konkurrenz überholt.  China dominiert den weltweiten Markt für humanoide Roboter. #roboter #marathon #halbmarathon #peking #china #tagesschau #nachrichten
7630457825814252820,,,https://www.tiktok.com/@jeji127/video/7630457825814252820,115,114,,50 phút và 26 giây! Nhà vô địc,"50 phút và 26 giây! Nhà vô địch của cuộc thi marathon robot Honor đã được hé lộ! Robot ""Lightning"" do Honor tự phát triển đã giành cả ba vị trí đầu tiên! Một kỷ lục phi thường! #HonorLightningChampion #RobotMarathon #Champion #HonorLightningSweepsTopThreeInRobotMarathon#Honor "
7631119290237750545,,,https://www.tiktok.com/@vision_china/video/7631119290237750545,82,14,,Robots just ran a half maratho,Robots just ran a half marathon in under 51 minutes. Meet the quirky contestants stealing the show. #RobotMarathon2026 #HumanoidRobot #Beijing #BuzzStories
7630786814139239702,,,https://www.tiktok.com/@leparisien/video/7630786814139239702,230,104,,Ce n'était sans doute pas la s,"Ce n'était sans doute pas la seule chute de la course, mais la plus spectaculaire. Ce jeudi s'est tenu le semi-marathon de Pékin, au cours duquel des centaines de robots et quelque 12 000 humains couraient côte à côte. Alors qu'il s'élançait, près à franchir un ralentisseur, un robot humanoïde a trébuché. L'engin tombe au sol... puis dysfonctionne : en voulant continuer à avancer, il fracasse ses membres sur le sol et s'abîme très vite. Une fois qu'il s'est arrêté, le robot a été emmené sur une civière."
7627649623280078102,,,https://www.tiktok.com/@chinaliuyusen/video/7627649623280078102,45,27,,,
7628048891967065358,,,https://www.tiktok.com/@cnn/video/7628048891967065358,88,80,,Over 100 teams are set to comp,Over 100 teams are set to compete in the second humanoid robot half-marathon in Beijing. The robots completed a full-scale test ahead of the race on April 19.
7630644926425877767,,,https://www.tiktok.com/@kbsnewsofficial/video/7630644926425877767,190,124,,중국 하프마라톤 대회에서 스스로 판단해 달리는 휴머노이,중국 하프마라톤 대회에서 스스로 판단해 달리는 휴머노이드 로봇이 인간의 한계를 뛰어넘는 기록을 세웠습니다. #중국#휴머노이드#자율주행#하프마라톤#주행능력#KBS#KBSNEWS
7630833156865674504,,,https://www.tiktok.com/@vtvcab.sports/video/7630833156865674504,178,110,,300 robot đấu với con người tr,"300 robot đấu với con người trong cùng một cuộc đua vào cùng một ngày🤯  Vào ngày 19 tháng 4, Bắc Kinh đã tổ chức cuộc thi bán marathon, nơi các robot hình người chạy 21,1 km cùng với con người.Mọi người đoán xem bên nào đã dành chiến thắng 🤔 #vtvcabsports #SportsOnTikTok #marathon #robot #tech #mlt"
7633362023761399061,,,https://www.tiktok.com/@hesonerdy.vn/video/7633362023761399061,40,53,,Trung Quốc đang lặp lại lịch s,"Trung Quốc đang lặp lại lịch sử của Phương Tây cách đây 100 năm trước.  Thủ tướng Đức - vốn dĩ là một nước đi đầu về khoa học, công nghệ của thế giới, đã phải về nước và khẩn khoản kêu gọi người dân tăng giờ làm việc nếu không sẽ bị tụt hậu. Video này phân tích tham vọng của Bắc Kinh qua giải chạy đua Half Marathon 21km dành cho robot ngày 19/4 vừa qua. Trả lời 3 câu hỏi lớn: 1/ Tại sao chúng ta lại làm robot hình người (humanoid robot) mà không phải hình khác? 2/ Tại sao lại tổ chức giải chạy đua cho Robot? 3/ Điều gì Trung Quốc muốn chứng minh cho thế giới? Video được biên tập bằng tay qua quá trình theo dõi tin tức công nghệ cập nhật mới nhất trên thế giới, có sẵn 2 thứ tiếng: Tiếng Anh và tiếng Việt. Các đường link (VI-EN) sẽ được để ở phần comment:@hesonerdy.en  #hesonerdy #robotmarathon #humanoidrobot #china #halfmarathon"
7496454745583013138,,,https://www.tiktok.com/@ntv.news/video/7496454745583013138,174,83,,【ガチ中国 #9】中国・北京で世界初のロボットマラソンが行わ,【ガチ中国 #9】中国・北京で世界初のロボットマラソンが行われました。大暴走ロボットに超リアル美人ロボット、小動物系癒しロボットまで多種多様なロボットたちの一部始終。はたして完走できるロボットはいるのでしょうか？ #日テレnews #tiktokでニュース #ガチ中国 #china #chinanews #中国  #ロボットマラソン  #机器人马拉松
7630429589898136848,,,https://www.tiktok.com/@joongangilbo_official/video/7630429589898136848,35,24,,"‘하프마라톤 50분대 완주’ … 중국 휴머노이드 로봇,","‘하프마라톤 50분대 완주’ … 중국 휴머노이드 로봇, 인간 기록 깼다 #marathon #마라톤 #휴머노이드 #로봇 #중국 "
7631094550848752916,,,https://www.tiktok.com/@banhbaokonhan13/video/7631094550848752916,102,11,,ĐANG VIRAL Được dân mạng bình ,ĐANG VIRAL Được dân mạng bình chọn là bé robot đáng yêu nhất tham gia giải maratong robot lần này😆😆 Tốc độ ko nhanh nhưng rất được lòng các奶爸奶妈 vì thiết kế đáng yêu vô đối. Ngoài ra đi thi ko quên cầm theo bình sữa nữa 😆😆😆😆  #机器人马拉松 #TrungQuoc #Robot #Xuhuong #Douyin 
7630513919198596374,,,https://www.tiktok.com/@srfnews/video/7630513919198596374,83,35,,Ein chinesischer Roboter hat e,"Ein chinesischer Roboter hat einen Halbmarathon schneller absolviert als je ein Mensch zuvor. Noch vor einem Jahr lagen sie hinter ihren menschlichen Konkurrenten zurück. Doch am Sonntag liess ein Android das gesamte Feld hinter sich. Der Laufroboter des chinesischen Smartphone-Herstellers Honor, absolvierte die 21 Kilometer in Peking in 50 Minuten und 26 Sekunden. Er unterbot damit den menschlichen Weltrekord um rund sieben Minuten. Der menschliche Rekord – 57 Minuten und 20 Sekunden – wird laut World Athletics vom ugandischen Läufer Jacob Kiplimo gehalten. #srfnews #srf #news #roboter #halbmarathon "
7540927387400277270,,,https://www.tiktok.com/@lachicaskynet/video/7540927387400277270,277,142,,#olimpiadas de #robotshumanoid,#olimpiadas de #robotshumanoides #core #neocotilleos #beijing2025 
7545771550088121622,,,https://www.tiktok.com/@bbcnews/video/7545771550088121622,380,1367,,"The ""robot wolves"" are capable","The ""robot wolves"" are capable of frontline reconnaissance, delivering supplies and even launching precision strikes against targets, according to Chinese state media. #China #MilitaryParade #Beijing #Military #News #BBCNews"
7633050798611762439,,,https://www.tiktok.com/@lazovietnam1/video/7633050798611762439,131,17,,Cuộc thi marathon này nghe nó ,Cuộc thi marathon này nghe nó lạ lắm  #tintuc #lazo #trungquoc #giaitri #funny 
7620403060728286477,,,https://www.tiktok.com/@liuyusen0/video/7620403060728286477,428,65,,@ChinaLiuYusen I just can't ho,@ChinaLiuYusen I just can't hold it in anymore. I'm laughing so hard.#ShanghaiAWC #RobotMarathon #HumanoidRobot #Robotics #HumanoidRobotDancing 
7630307025888578837,,,https://www.tiktok.com/@john110316/video/7630307025888578837,79,13,,北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆,北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆 #China #chinatechnology #robot 
7634573354619407638,,,https://www.tiktok.com/@chinaliuyusen/video/7634573354619407638,136,41,,Engine AI T800 humanoid robot ,"Engine AI T800 humanoid robot × Shenzhen Traffic Police on duty Sci-fi becomes reality, Made in China guards the city🔥#T800 #robotics #automation #RobotMarathon #UnitreeRobotics "
7631046172836220191,,,https://www.tiktok.com/@americanunityparty/video/7631046172836220191,104,11,,Robot Speed Race #robot #techn,Robot Speed Race #robot #technology #science #work #speed 
7495070816300748052,,,https://www.tiktok.com/@shanghai9998/video/7495070816300748052,91,63,,Khu vực trao giải marathon ở B,Khu vực trao giải marathon ở Bắc Kinh về  phần trình diễn robot #robotics 
7538846508385307959,,,https://www.tiktok.com/@dailymail/video/7538846508385307959,390,316,,The world's first robot Olympi,"The world's first robot Olympics have officially kicked off in China this week. The three–day event, called the World Humanoid Robot Games, will see humanoid robots from 16 countries compete across a range of events. Read more at DailyMail. #news #china #robot #ai #tech "
7631148156712979732,,,https://www.tiktok.com/@beatvn_official/video/7631148156712979732,298,132,,Robot cute nhất giải chạy Mara,Robot cute nhất giải chạy Marathon Robot Trung Quốc #beatvn #beatnetwork #robot #china #marathon #hoangacid
7607517786457345294,,,https://www.tiktok.com/@businessblurb/video/7607517786457345294,2143,966,,Unitree humanoid robots rocked,"Unitree humanoid robots rocked the Spring Festival Gala in Beijing today with a dynamic routine of parkour, Drunken Fist, and nunchaku to celebrate Chinese New Year  #robot #techtok #ai #chinesenewyear #future "
7637415124940115220,,,https://www.tiktok.com/@brighttv/video/7637415124940115220,81,36,,จีนเปิดตัว “ม้าหุ่นยนต์” Qiji ,จีนเปิดตัว “ม้าหุ่นยนต์” Qiji T1000 แบกน้ำหนักได้ 1 ตัน ตัวแรกของโลก พร้อมลุยทุกสถานการณ์ #QijiT1000 #DaxRobotics #ม้าหุ่นยนต์ #หุ่นยนต์จีน #เทคโนโลยีใหม่ #หุ่นยนต์อุตสาหกรรม #ข่าวเทคโนโลยี #RobotHorse #จีน #BrightTV
7618773442560625950,,,https://www.tiktok.com/@srk.malik2/video/7618773442560625950,1957,652,,#ballibotmogis#Trendingreels#T,#ballibotmogis#Trendingreels#Trendingreels#Foryoupage##FYP#ViralTiktok#milionviews#Techmagic#Smartbot#AITrend#robotvibes#Innovation
7630403809512115463,,,https://www.tiktok.com/@kelly.leeee8/video/7630403809512115463,221,107,,What will happen when Robots R,What will happen when Robots Run a Marathon...🤖 Which one you will pick🤣🤣🤣 #fyp #robotics #robotmarathon #techtrends #viralvideo
