帖子id,帖子链接,帖子用户名,机器人状态,人的形象,是否比赛视频,robot_status原文,媒体类型,语言,特点,数据原文件地址
MURBHytXD5U,https://www.youtube.com/shorts/MURBHytXD5U,에잇,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
24cOwIdWU5k,https://www.youtube.com/watch?v=24cOwIdWU5k,Associated Press,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
FiUgeAdza0A,https://www.youtube.com/watch?v=FiUgeAdza0A,Tom Powell Jr,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
BBfZaz6Dcb0,https://www.youtube.com/watch?v=BBfZaz6Dcb0,CGTN Europe,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
h5UtSwHGsHY,https://www.youtube.com/watch?v=h5UtSwHGsHY,CCTV Video News Agency,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ykAbfmbgywQ,https://www.youtube.com/watch?v=ykAbfmbgywQ,The MES Times,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
tmJoD7dp1qk,https://www.youtube.com/shorts/tmJoD7dp1qk,Sky News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
BIjGpAo-iho,https://www.youtube.com/watch?v=BIjGpAo-iho,New York Post,失败,观众,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
cF2xstwBq70,https://www.youtube.com/watch?v=cF2xstwBq70,Chris Wabs,失败,观众,是,失败（如摔倒，失去能力）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
CFYtlCs4RhA,https://www.youtube.com/watch?v=CFYtlCs4RhA,CBS Mornings,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
YDngKUc9EiQ,https://www.youtube.com/watch?v=YDngKUc9EiQ,CNBC-TV18,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
aJyktujxO7I,https://www.youtube.com/shorts/aJyktujxO7I,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
datnk7gaY90,https://www.youtube.com/watch?v=datnk7gaY90,Reuters,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
u_ESlSFNi0w,https://www.youtube.com/shorts/u_ESlSFNi0w,New China TV,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
f26FfMaS62k,https://www.youtube.com/shorts/f26FfMaS62k,Fun Pulse TV,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
AerpY_g67m8,https://www.youtube.com/shorts/AerpY_g67m8,ABC News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
CaEztnATkqA,https://www.youtube.com/watch?v=CaEztnATkqA,NBC News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
jy0aCfmx7S4,https://www.youtube.com/watch?v=jy0aCfmx7S4,The Sun,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
RZHz0PrxIf0,https://www.youtube.com/watch?v=RZHz0PrxIf0,Associated Press,弱势,服务照护,是,可爱（可爱，萌萌哒）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-SuVw7ViUJg,https://www.youtube.com/watch?v=-SuVw7ViUJg,New York Post,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
D4k95czn-uw,https://www.youtube.com/shorts/D4k95czn-uw,KhanFlicks,强势,观众,是,强势（如超高性能，跑得很快）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Fr-bumoO9a8,https://www.youtube.com/watch?v=Fr-bumoO9a8,Gianluigi Ballarani,常态,观众,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
yOnTeI_Sosg,https://www.youtube.com/watch?v=yOnTeI_Sosg,CN.科技发布会,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
0lsrUAdcPPE,https://www.youtube.com/watch?v=0lsrUAdcPPE,Bloomberg Television,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
hzNPybCrQOU,https://www.youtube.com/watch?v=hzNPybCrQOU,NOS,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
6OOhh98AxFo,https://www.youtube.com/watch?v=6OOhh98AxFo,CodersVoice (CodersVoice),强势,观众,是,强势（如超高性能，跑得很快）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
C8hm-H9rmVE,https://www.youtube.com/watch?v=C8hm-H9rmVE,Associated Press,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
_u5zRqpdzHc,https://www.youtube.com/watch?v=_u5zRqpdzHc,FOCUS online,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
C6Fwv-3ksOk,https://www.youtube.com/shorts/C6Fwv-3ksOk,China.org.cn,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
dd0ARynnBLs,https://www.youtube.com/watch?v=dd0ARynnBLs,Associated Press,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
3mpcwv7d2_s,https://www.youtube.com/shorts/3mpcwv7d2_s,Yo Futian,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
iaLJ7QWXmdk,https://www.youtube.com/shorts/iaLJ7QWXmdk,In Biz,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
pngFEKQ8kxY,https://www.youtube.com/watch?v=pngFEKQ8kxY,Mike Valerio,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
30mHyiYDX0k,https://www.youtube.com/watch?v=30mHyiYDX0k,DD News,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
5-hPQE2rDgY,https://www.youtube.com/shorts/5-hPQE2rDgY,LayarStory,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
c6xyeQ_ToZc,https://www.youtube.com/watch?v=c6xyeQ_ToZc,杨迷糊小探索 mihu explore,混合,观众,是,混合（都有）,民间解读,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
oL1k_PXPP3w,https://www.youtube.com/watch?v=oL1k_PXPP3w,CN.科技发布会,强势,服务照护,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wpVUXRb1nwM,https://www.youtube.com/watch?v=wpVUXRb1nwM,South China Morning Post,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
gJVsQ6WMoVo,https://www.youtube.com/watch?v=gJVsQ6WMoVo,CBS Evening News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
8BBw3reKgTc,https://www.youtube.com/watch?v=8BBw3reKgTc,杨迷糊小探索 mihu explore,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
HizfsCdFUgE,https://www.youtube.com/watch?v=HizfsCdFUgE,Кирило Соляр | AI та автоматизація бізнесу,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
YFtYimMCrnY,https://www.youtube.com/shorts/YFtYimMCrnY,Hay,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
DoGA9K7-p6A,https://www.youtube.com/shorts/DoGA9K7-p6A,CNA,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
CDI-Myx087U,https://www.youtube.com/shorts/CDI-Myx087U,CNBC-TV18,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
UFxsosMQ5Dw,https://www.youtube.com/shorts/UFxsosMQ5Dw,YouthVision,强势,观众,是,强势（如超高性能，跑得很快）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
x0G3b2Cci68,https://www.youtube.com/shorts/x0G3b2Cci68,Cybernews,常态,观众,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
RdgNurNf0jQ,https://www.youtube.com/shorts/RdgNurNf0jQ,CNA,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
B8DyUJagc2M,https://www.youtube.com/shorts/B8DyUJagc2M,CGTN,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
yzXI7MYoNRM,https://www.youtube.com/watch?v=yzXI7MYoNRM,New York Post,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
KJEbRvRVdmc,https://www.youtube.com/watch?v=KJEbRvRVdmc,Firstpost,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ixn9pjBfDBU,https://www.youtube.com/shorts/ixn9pjBfDBU,Global News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wi6siFxApGg,https://www.youtube.com/shorts/wi6siFxApGg,Cybernews,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
-hZPSbTnw1c,https://www.youtube.com/watch?v=-hZPSbTnw1c,DRM News,混合,观众,是,混合（都有）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
1XgvFC798Hs,https://www.youtube.com/shorts/1XgvFC798Hs,Storyku,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
xEBBmq2tk1U,https://www.youtube.com/watch?v=xEBBmq2tk1U,CN.科技发布会,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
QCngGAZ7ex4,https://www.youtube.com/watch?v=QCngGAZ7ex4,National Dastak,,,否,,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
f5-WeZ582xM,https://www.youtube.com/watch?v=f5-WeZ582xM,Bloomberg News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
cb47yvnszIM,https://www.youtube.com/shorts/cb47yvnszIM,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
0FE9syvy4os,https://www.youtube.com/watch?v=0FE9syvy4os,杨迷糊小探索 mihu explore,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
j0DtY2lQUVs,https://www.youtube.com/shorts/j0DtY2lQUVs,ShanghaiEye魔都眼,强势,观众,是,强势（如超高性能，跑得很快）,原视频,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Ppf63oTGP3U,https://www.youtube.com/shorts/Ppf63oTGP3U,CGTN Europe,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Ol1oExJfcO0,https://www.youtube.com/watch?v=Ol1oExJfcO0,Barrett,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Plwu0jPZZoI,https://www.youtube.com/watch?v=Plwu0jPZZoI,CGTN,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
k1tRNqqKa8A,https://www.youtube.com/shorts/k1tRNqqKa8A,BI️ Studio of Emotional Intelligence,弱势,服务照护,是,可爱（可爱，萌萌哒）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
qVR8vwCXcXQ,https://www.youtube.com/watch?v=qVR8vwCXcXQ,BILD,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
DGOm9fG-c3I,https://www.youtube.com/watch?v=DGOm9fG-c3I,DWS News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
EF9MqyRirI8,https://www.youtube.com/watch?v=EF9MqyRirI8,METRO TV,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wBuj_D3sslY,https://www.youtube.com/shorts/wBuj_D3sslY,Koop,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
zvLH2Hw9wRg,https://www.youtube.com/shorts/zvLH2Hw9wRg,MICROPHONE,常态,服务照护,是,常态（正常跑步和运动）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
3YpICosVnbU,https://www.youtube.com/watch?v=3YpICosVnbU,Sky News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
0TElDAdB8Ro,https://www.youtube.com/watch?v=0TElDAdB8Ro,DRM News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
dEJFAisp7Cg,https://www.youtube.com/shorts/dEJFAisp7Cg,Booster Robotics,,,否,,,,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
W6lgls_36Wc,https://www.youtube.com/shorts/W6lgls_36Wc,YE_EDITZ,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
YsIq36g0qP0,https://www.youtube.com/watch?v=YsIq36g0qP0,CN.科技发布会,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
XGZM-xWFhEE,https://www.youtube.com/watch?v=XGZM-xWFhEE,TNN,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
aLQQeshKvno,https://www.youtube.com/shorts/aLQQeshKvno,CNA,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
