帖子id,post_category,robot_status,human_role,corpus,帖子链接,帖子正文,clean_L1,clean_L2,shared_L1,shared_L2,clean_合计,shared_合计,保留率
69e481e8000000002003ad94,强势|服务者,强势,服务者,batch1,https://www.xiaohongshu.com/explore/69e481e8000000002003ad94?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqpDPWAU3O7maZ62l5l6vIYY=&xsec_source=pc_share,"堪比赛车！机器人马拉松高燃补给场面！

",5707,4006,4495,3058,9713,7553,0.7776
69e5a09a000000002103ba03,常态|观众,常态,观众,batch1,https://www.xiaohongshu.com/explore/69e5a09a000000002103ba03?source=webshare&xhsshare=pc_web&xsec_token=CBntWBTn_T3IntSn9_pkfTxg2ucmkP_yDlp1qWUAPuaug=&xsec_source=pc_share,"在2026年4月20日举行的某场半程马拉松赛事中，一台参赛的人形机器人出现了引人注目的行为。它在奔跑途中突然停下，转而开始表演舞蹈动作。周围观众发出的“哇！再来一个！”等热烈称赞，似乎影响了机器人的后续行为，使其一度偏离了比赛的主要任务。

",48,8,33,3,56,36,0.6429
69e43a5a000000001d01dcc7,常态|观众,常态,观众,batch1,https://www.xiaohongshu.com/explore/69e43a5a000000001d01dcc7?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pWWcyDJgZkEGIP1wQE4k6N8=&xsec_source=pc_share,"它嘲讽倒地不起的同伴，笑死我了 还给了我一个饭撒[飞吻R]

",50,44,35,29,94,64,0.6809
69e44f3a000000002301079c,常态|观众,常态,观众,batch1,https://www.xiaohongshu.com/explore/69e44f3a000000002301079c?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqvu5WnQfrCeMbQRtezhhUWE=&xsec_source=pc_share,"谁懂看到豆包（哦不，是豆脚😂）在跑道上狂奔的魔幻感啊哈哈哈哈哈！！

",6,2,3,1,8,4,0.5
69e44fbf000000001e00cc6a,强势|服务者,强势,服务者,batch1,https://www.xiaohongshu.com/explore/69e44fbf000000001e00cc6a?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqmOPSzSGhKWoIZ1zwdhJjIQ=&xsec_source=pc_share,"近日，在2026北京亦庄人形机器人半程马拉松赛前的备战过程中，有机器人一路向前飞奔，几名工程师扛着电脑在后面拼命追，这爆笑一幕引发网友热议：“也没说搞科研还需要体力啊”[笑哭R][笑哭R]

",6,2,6,2,8,8,1.0
69df625d0000000021005c63,失败|观众,失败,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69df625d0000000021005c63?source=webshare&xhsshare=pc_web&xsec_token=ABmwDHDtxW8ICF6uM0M4EqkNMm0_ID6NkuwJDN5IuQzbo=&xsec_source=pc_share,"北京亦庄机器人马拉松名场面，希望能给你带来快

",1313,599,791,381,1912,1172,0.613
69e45dbe000000001f00434f,强势|观众,强势,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e45dbe000000001f00434f?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf1SawCDJsMo9imYKkVZnW5s=&xsec_source=pc_share,"带你现场感受机器人马拉松的真实速度！有幸作为连续两次参加世界机器人马拉松现场报道的博主！ 真的想大喊一声，真的太快了！
想起来去年咱们第一年办的时候，外网网友说，怎么证明你们机器人不是真人假扮的？ 今年：很简单，那就超越人类极限咯！

",239,181,204,130,420,334,0.7952
69e447d2000000001d01aa01,强势|服务者,强势,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e447d2000000001d01aa01?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcfwOz4p_ANO3EiAqL0ZaOfK4=&xsec_source=pc_share,"你刷到这个画面了吗？这是北京人形机器人半程马拉松的赛道上的场景，程序员抱着笔记本电脑，气喘吁吁地跟在机器人身后一路狂奔。网友调侃：“机器人拿了第一，电脑拿了第二，程序员拿了第三。”

",538,655,462,429,1193,891,0.7469
69e43b14000000001a02e095,弱势|服务者,弱势,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e43b14000000001a02e095?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf-MGegTlmG91hDD0ON_I8Io=&xsec_source=pc_share,"突然停下来了，工作人员喷了点东西又开始跑了。猜测应该是降温

",858,192,569,104,1050,673,0.641
69e40352000000002102fc75,常态|服务者,常态,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e40352000000002102fc75?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf3fi8kk0yeJvVycFft-jpKg=&xsec_source=pc_share,"好多人呀，感觉大家都来了

",595,299,451,239,894,690,0.7718
69e4b08d000000001d01c1bc,混合|观众,混合,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e4b08d000000001d01c1bc?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf_-QmOr87KjFgtg1Au50bZs=&xsec_source=pc_share,"

",97,160,85,138,257,223,0.8677
69e46730000000001d0199c8,强势|观众,强势,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e46730000000001d0199c8?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcfzqZMnMiFJ0tRzfs5N3w0uw=&xsec_source=pc_share,"

",343,168,273,126,511,399,0.7808
69e4c771000000002102c3fc,常态|服务者,常态,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e4c771000000002102c3fc?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf5sNOG0SZHayf_1Oz3MYGk4=&xsec_source=pc_share,"

",35,5,19,3,40,22,0.55
69e634590000000022003bb5,常态|观众,常态,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e634590000000022003bb5?source=webshare&xhsshare=pc_web&xsec_token=ABegEExteR-fh44OcwJc-MQkW6u9PDssK7meNVt9Wpgjc=&xsec_source=pc_share,"这是我的。

",233,136,166,105,369,271,0.7344
69e44171000000001a026b25,混合|观众,混合,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e44171000000001a026b25?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf-Uef1fXjZdX0tz2zYWadIg=&xsec_source=pc_share,"机器人马拉松比赛摔倒后表演了一套鲤鱼打挺丝滑起身，动作行云流水👍👍

",338,113,244,69,451,313,0.694
69e4412a000000002103883f,强势|观众,强势,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e4412a000000002103883f?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf7a1hqWqWX3z2ISnAkjgyRw=&xsec_source=pc_share,"我这个位置是起点第一个群众可以观看的地方，人很多！大家都很激动兴奋！！各种神点评！

",232,148,180,114,380,294,0.7737
69e463df000000001b003017,强势|服务者,强势,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e463df000000001b003017?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf9BcGIkQLiNddI_ajXQxwG8=&xsec_source=pc_share,"机器人“闪电”夺冠后戴着金牌亮相，记者争先恐后采访

",128,52,111,42,180,153,0.85
69e48b0b000000001a02578c,失败|服务者,失败,服务者,batch2_anchor,https://www.xiaohongshu.com/explore/69e48b0b000000001a02578c?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf1DeOvkqWWv4W7Y_5Ep9iZI=&xsec_source=pc_share,"一个自动机器人配两个助理🥵

",135,142,91,100,277,191,0.6895
69e48341000000001a02d0c4,强势|观众,强势,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e48341000000001a02d0c4?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf_pHFF3E3OSazOgSNfaQmTo=&xsec_source=pc_share,"妄自菲薄的往往是自己人，到了现在，还有人在说机器人没用，就是个遥控玩具，我且不说未来会越来越智能，我就说现在改进改进用在国防上，面对坏人，它拿着真理，追着你跑，你怕不怕，哪怕他续航就俩小时，你敢说你能一直跑俩小时？[偷笑R]
真乃恍然大悟惊坐起，列强竟是我自己啊～哈哈哈哈 不知不觉，已经领先了太多🤖

",332,492,280,396,824,676,0.8204
69e59e520000000022027a90,弱势|观众,弱势,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e59e520000000022027a90?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBgVdMEgrizyknnJDpQYh4-sf5Wtm9JRBmnZ-A9S8LjsQ=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476531&share_id=9185500936f2429d8f02e85e715afa0d,"北京亦庄机器人马拉松名场面，希望能给你带来快乐

",1318,501,925,350,1819,1275,0.7009
69e46032000000001f002048,常态|保护者,常态,保护者,batch2_anchor,https://www.xiaohongshu.com/explore/69e46032000000001f002048?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBGl5EWuZ01NccooWZo8fji9ToO8TGzw2vfxoVG8aiMi8=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476558&share_id=5ef79586de544f50bc49b22aa568b5e7,"如果未来机器人统治世界，我希望你们能记得，我和其他人不一样，我永远拥护你们！！

",989,2920,162,286,3909,448,0.1146
69e429b4000000001b00037a,常态|观众,常态,观众,batch2_anchor,https://www.xiaohongshu.com/explore/69e429b4000000001b00037a?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBGl5EWuZ01NccooWZo8fji9JyQabNSst4pOdwuW38QdU=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476600&share_id=612df443888d4c46af42d11bf28564fc,"哈哈哈哈哈哈是同一款吗？求证！！[笑哭R][笑哭R]

",404,314,277,160,718,437,0.6086
